filename,answer,level,trick,generated,note,prompt
dog_001_shiba,dog,1,1,1,,"a shiba inu sitting and looking at camera, full body, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_002_golden,dog,1,1,1,,"a golden retriever smiling with tongue out, head and shoulders, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_003_corgi,dog,1,1,1,,"a corgi standing on grass, side view, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_004_pug,dog,1,1,1,,"a black pug face close up, big eyes, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_005_dachshund,dog,1,1,1,,"a dachshund walking, full body, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_006_husky,dog,1,2,1,,"a husky lying on snow, only head visible, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_007_poodle_toy,dog,1,2,1,,"a fluffy apricot toy poodle sitting, round trimmed fur, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_008_chihuahua,dog,1,2,1,,"a chihuahua wrapped in a blanket, face peeking out, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_001_cat,not,1,1,1,,"a tabby cat sitting and looking at camera, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_002_bread,not,1,1,1,,"a loaf of white bread on a wooden table, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_003_rabbit,not,1,1,1,,"a white rabbit sitting on grass, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_004_teddy,not,1,1,1,,"a brown teddy bear sitting on a chair, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_005_fox,not,1,2,1,,"a red fox sitting, front view, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_006_seal,not,1,2,1,,"a harbor seal pup lying on sand, face toward camera, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_007_sheep,not,1,2,1,,"a fluffy white lamb standing, front view, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_008_otter,not,1,2,1,,"a sea otter floating on its back, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_101_blanket_nose,dog,2,2,0,,"a dog completely under a beige fleece blanket, only black wet nose sticking out, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_102_mop_komondor,dog,2,3,0,,"a komondor dog with long corded white fur, lying down, no face visible, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_103_curled_shiba,dog,2,2,0,,"a shiba inu curled into a tight ball sleeping on a cushion, viewed from above, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_104_towel_pile,dog,2,2,0,,"a white maltese dog lying on a pile of white towels, only ears and eyes visible, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_105_plush_lookalike,dog,2,3,0,,"a pomeranian puppy sitting perfectly still like a plush toy, soft studio light, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_106_sock_ball,dog,2,2,0,,"a tiny sleeping puppy curled up looking like a rolled up brown sock, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_107_pillow,dog,2,2,0,,"a big white samoyed lying flat on a bed, looking like a fluffy pillow, viewed from above, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_108_slipper,dog,2,3,0,,"a long-haired dachshund lying on a doormat, viewed from directly above, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_109_carpet,dog,2,2,0,,"a shaggy grey dog lying on a shaggy grey carpet of the same color, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_110_rug_ears,dog,2,2,0,,"a sheepdog lying on a cream rug, only fluffy ears and a bit of fur visible, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_101_mop,not,2,2,0,,"a white cotton string mop head lying on a wooden floor, no handle visible, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_102_blanket_bump,not,2,2,0,,"a beige fleece blanket on a sofa with a rounded bump under it, no animal visible, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_103_plush_dog,not,2,3,0,,"a realistic plush toy of a shiba inu, sitting on a bed, slightly worn fabric, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_104_towels,not,2,2,0,,"a pile of white fluffy towels on a bed, viewed from above, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_105_fur_hat,not,2,2,0,,"a brown fur hat lying on a wooden table, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_106_sock_roll,not,2,2,0,,"a rolled up brown wool sock on a bed, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_107_pillow,not,2,2,0,,"a white fluffy round pillow on a bed, viewed from above, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_108_slipper,not,2,3,0,,"a pair of brown fluffy dog-shaped slippers on a doormat, viewed from above, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_109_carpet,not,2,2,0,,"a shaggy grey wool carpet with a small lump in the middle, viewed from above, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
